Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
OTOVO;NO0010809783;OTOVO;"Euronext Growth Oslo";NOK;25.985;26.085;25.295;25.835;"28/12/21 16:25";CET;297279;7684516.82
"PANORO ENERGY";NO0010564701;PEN;"Oslo Børs";NOK;21.10;22.10;21.05;22.10;"28/12/21 16:25";CET;758669;16435963.90
"PARETO BANK";NO0010397581;PARB;"Oslo Børs";NOK;58.40;58.40;57.90;57.90;"28/12/21 16:25";CET;33818;1960956.30
"PATIENTSKY GROUP";NO0010895667;PSKY;"Euronext Growth Oslo";NOK;3.985;3.985;3.75;3.82;"28/12/21 16:25";CET;178747;683170.14
"PCI BIOTECH HOLD";NO0010405640;PCIB;"Oslo Børs";NOK;13.85;13.99;13.70;13.70;"28/12/21 16:25";CET;37406;515453.29
PETROLIA;CY0102630916;PSE;"Oslo Børs";NOK;4.50;4.60;4.50;4.51;"28/12/21 16:25";CET;39270;179372.08
"PETRONOR E&P LTD";AU0000057408;PNOR;"Euronext Expand Oslo";NOK;0.79;0.85;0.789;0.849;"28/12/21 16:25";CET;6246508;5089496.98
"PEXIP HOLDING";NO0010840507;PEXIP;"Oslo Børs";NOK;42.68;43.76;41.44;41.70;"28/12/21 16:28";CET;597894;25432886.22
PGS;NO0010199151;PGS;"Oslo Børs";NOK;3.818;4.034;3.75;3.952;"28/12/21 16:26";CET;3735072;14693750.85
"PHILLY SHIPYARD";NO0010395577;PHLY;"Euronext Expand Oslo";NOK;52.00;55.40;52.00;54.40;"28/12/21 16:19";CET;18717;1011334.40
PHOTOCURE;NO0010000045;PHO;"Oslo Børs";NOK;103.10;104.60;99.50;100.00;"28/12/21 16:25";CET;63318;6444714.70
"PIONEER PROPERTY";NO0010735681;PPG;"Euronext Expand Oslo";NOK;104.00;105.00;104.00;105.00;"28/12/21 14:08";CET;1728;180290.00
"PLAY MAGNUS";NO0010890726;PMG;"Euronext Growth Oslo";NOK;15.00;15.14;14.50;14.80;"28/12/21 16:26";CET;97796;1444806.90
"POLARIS MEDIA";NO0010466022;POL;"Oslo Børs";NOK;96.00;96.00;93.20;95.80;"28/12/21 13:55";CET;328;31381.20
POLIGHT;NO0010341712;PLT;"Oslo Børs";NOK;184.00;186.00;180.00;180.20;"28/12/21 16:25";CET;26943;4875785.80
PROSAFE;NO0010861990;PRS;"Oslo Børs";NOK;0.165;0.17;0.164;0.167;"28/12/21 16:28";CET;13690391;2302380.25
"PROTECTOR FORSIKRG";NO0010209331;PROT;"Oslo Børs";NOK;105.00;107.60;105.00;106.40;"28/12/21 16:25";CET;66933;7147843.60
"PROXIMAR SEAFOOD";NO0010893902;PROXI;"Euronext Growth Oslo";NOK;7.101;7.347;7.001;7.05;"28/12/21 16:27";CET;36866;263507.22
PRYME;NL00150005Z1;PRYME;"Euronext Growth Oslo";NOK;34.01;34.60;32.60;33.00;"28/12/21 16:25";CET;93396;3133609.16
"PYRUM INNOVATIONS";DE000A2G8ZX8;PYRUM;"Euronext Growth Oslo";NOK;1064.80;1064.80;990.00;990.00;"28/12/21 16:03";CET;152;157054.00
Q-FREE;NO0003103103;QFR;"Oslo Børs";NOK;8.18;8.24;8.06;8.16;"28/12/21 16:27";CET;258759;2114302.96
QUANTAFUEL;NO0010785967;QFUEL;"Euronext Growth Oslo";NOK;32.50;33.42;32.00;32.00;"28/12/21 16:27";CET;410972;13374937.40
"QUESTBACK GROUP";NO0011019119;QUEST;"Euronext Growth Oslo";NOK;106.00;106.00;106.00;106.00;"28/12/21 16:25";CET;9;954.00
"QUESTERRE ENERGY";CA74836K1003;QEC;"Oslo Børs";NOK;1.626;1.67;1.422;1.452;"28/12/21 16:25";CET;15819852;24261554.00
"R8 PROPERTY";NO0010859689;R8P;"Euronext Growth Oslo";NOK;28.35;28.35;27.99;27.99;"28/12/21 14:43";CET;2020;56557.00
"RAK PETROLEUM";GB00BRGBL804;RAKP;"Oslo Børs";NOK;9.00;9.20;9.00;9.20;"28/12/21 16:29";CET;231120;2121512.62
"RANA GRUBER";NO0010907389;RANA;"Euronext Growth Oslo";NOK;46.30;46.855;46.005;46.13;"28/12/21 16:25";CET;142118;6609617.58
"REACH SUBSEA";NO0003117202;REACH;"Oslo Børs";NOK;2.90;2.99;2.90;2.93;"28/12/21 16:25";CET;49832;147375.17
"REC SILICON";NO0010112675;RECSI;"Oslo Børs";NOK;18.29;18.58;18.00;18.00;"28/12/21 16:25";CET;3576482;65519038.37
"RIVER TECH";MT0001710103;RIVER;"Euronext Growth Oslo";NOK;63.50;63.50;61.00;61.00;"28/12/21 16:12";CET;2429;148647.50
"ROMERIKE SPAREBK";NO0010808405;ROMER;"Euronext Growth Oslo";NOK;178.00;178.00;177.00;177.00;"27/12/21 14:30";CET;292;51876.00
ROMREAL;BMG763301022;ROM;"Euronext Expand Oslo";NOK;1.95;1.95;1.95;1.95;"28/12/21 14:49";CET;8000;15600.00
"ROMSDAL SPAREBANK";NO0010759988;ROMSB;"Euronext Growth Oslo";NOK;128.00;128.00;128.00;128.00;"28/12/21 09:00";CET;150;19200.00
"SAGA PURE";NO0010572589;SAGA;"Oslo Børs";NOK;3.55;3.56;3.315;3.36;"28/12/21 16:25";CET;4005538;13631847.67
