Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TGB,Taseko Mines Ltd. Common Stock,$2.13,0.10,4.926%,604826687.00,Canada,,1450358,,
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.8553,0.1191,16.178%,166704970.00,Canada,,96043,,
THTX,Theratechnologies Inc. Common Shares,$2.86,0.06,2.143%,272047888.00,Canada,,75725,,
TIOAU,Tio Tech A Units,$9.93,-0.04,-0.401%,0.00,Germany,2021,300,Finance,Business Services
TIOAW,Tio Tech A Warrants,$0.78,0.00,0.00%,0.00,Germany,2021,21,Finance,Business Services
TLRY,Tilray Brands Inc. Class 2 Common Stock ,$6.15,-0.14,-2.226%,2743864572.00,Canada,2018,15985702,Health Care,Biotechnology: Pharmaceutical Preparations
TMC,TMC the metals company Inc. Common Stock,$1.465,-0.075,-4.87%,330004841.00,Canada,,610365,,
TMCWW,TMC the metals company Inc. Warrants,$0.2402,-0.0497,-17.144%,0.00,Canada,,4911,,
TMDI,Titan Medical Inc. Ordinary Shares,$0.58,-0.014,-2.357%,64338060.00,Canada,,137183,,
TMQ,Trilogy Metals Inc. Common Stock,$1.5938,0.0338,2.167%,230226777.00,Canada,,97781,,
TRP,TC Energy Corporation Common Stock,$50.5801,0.0601,0.119%,49619078100.00,Canada,,557465,,
TRQ,Turquoise Hill Resources Ltd. Ordinary Shares,$17.055,0.365,2.187%,3432002653.00,Canada,,605877,,
TRVG,trivago N.V. American Depositary Shares,$2.245,0.055,2.511%,804275861.00,Germany,2016,226824,Technology,EDP Services
TRX,Tanzanian Gold Corporation Common Stock,$0.4449,0.0321,7.776%,113391910.00,Canada,,306176,,
TSAT,Telesat Corporation Class A Common Shares and Class B Variable Voting Shares ,$25.39,0.89,3.633%,1257996807.00,Canada,,46548,Basic Industries,Metal Fabrications
TU,Telus Corporation Ordinary Shares,$23.885,-0.025,-0.105%,32507485000.00,Canada,,367924,,
UEC,Uranium Energy Corp. Common Stock,$3.255,0.095,3.006%,903765245.00,Canada,,3615730,Basic Industries,Other Metals and Minerals
URG,Ur Energy Inc Common Shares (Canada),$1.265,0.035,2.846%,273257109.00,Canada,,876426,,
UROY,Uranium Royalty Corp. Common Stock,$3.62,0.01,0.277%,333606986.00,Canada,,416615,,
VBNK,VersaBank Common Shares,$12.055,0.125,1.048%,330802244.00,Canada,,3996,,
VET,Vermilion Energy Inc. Common (Canada),$15.74,0.12,0.768%,2554602000.00,Canada,,1231659,,
VEV,Vicinity Motor Corp. Common Stock,$3.196,0.046,1.46%,111517766.00,Canada,,58847,Capital Goods,Building Materials
VFF,Village Farms International Inc. Common Shares,$5.87,0.02,0.342%,503092160.00,Canada,,725056,,
VGFC,The Very Good Food Company Inc. Common Shares,$0.65,0.0075,1.167%,77002552.00,Canada,,134704,Basic Industries,Precious Metals
VJET,voxeljet AG American Depositary Shares,$6.15,0.25,4.237%,43214273.00,Germany,,4844,Capital Goods,Industrial Machinery/Components
VLNS,The Valens Company Inc. Common Shares,$2.0347,-0.0108,-0.528%,138485798.00,Canada,,49244,,
VMAR,Vision Marine Technologies Inc. Common Shares,$4.5974,0.0174,0.38%,38272716.00,Canada,2020,16004,,
VQS,VIQ Solutions Inc. Common Shares,$1.96,0.03,1.554%,58562091.00,Canada,,47040,,
VS,Versus Systems Inc. Common Shares,$2.04,0.00,0.00%,31730680.00,Canada,,8893,,
WCN,Waste Connections Inc. Common Shares,$125.54,1.23,0.989%,32706546398.00,Canada,,319315,Public Utilities,Power Generation
WKSP,Worksport Ltd. Common Stock,$2.42,0.01,0.415%,40828996.00,Canada,,40602,Capital Goods,Auto Parts:O.E.M.
WKSPW,Worksport Ltd. Warrant,$0.7602,-0.135,-15.08%,0.00,Canada,,570,Capital Goods,Auto Parts:O.E.M.
WPM,Wheaton Precious Metals Corp Common Shares (Canada),$42.11,2.77,7.041%,18970862908.00,Canada,,1852302,,
WPRT,Westport Fuel Systems Inc Common Shares,$1.985,-0.025,-1.244%,339025209.00,Canada,,1016100,Capital Goods,Multi-Sector Companies
WRN,Western Copper and Gold Corporation Common Stock,$1.645,0.165,11.149%,249095976.00,Canada,2011,161910,,
XENE,Xenon Pharmaceuticals Inc. Common Shares,$32.61,1.79,5.808%,1684152940.00,Canada,2014,521247,,
XRTX,XORTX Therapeutics Inc. Common Stock,$1.81,-0.04,-2.162%,22888793.00,Canada,,33568,,
YVR,Liquid Media Group Ltd. Common Shares,$0.9275,0.0003,0.032%,9268981.00,Canada,,80917,,
ZEAL,Zealand Pharma A/S American Depositary Shares,$21.88,-0.06,-0.273%,945560216.00,Denmark,2017,1565,Health Care,Biotechnology: Pharmaceutical Preparations
ZYME,Zymeworks Inc. Common Shares,$13.90,0.51,3.809%,647100100.00,Canada,2017,656870,,
